iter	RMSE
418	3.961255875
419	3.960442017
420	3.959453519
421	3.956773159
422	3.953857746
423	3.948342739
424	3.946893657
425	3.945565803
426	3.945089421
427	3.943074157
428	3.939548052
429	3.935907958
430	3.932291458
431	3.931218939
432	3.929955387
433	3.926088329
434	3.92551873
435	3.922062744
436	3.918684321
437	3.915765436
438	3.914567266
439	3.912227795
440	3.909967
441	3.906441541
442	3.906195662
443	3.903430324
444	3.899974648
445	3.898294995
446	3.897635048
447	3.892755244
448	3.891732383
449	3.890629135
450	3.886770284
451	3.886403735
452	3.883915059
453	3.880121939
454	3.879371957
455	3.878409856
456	3.875829439
457	3.874147394
458	3.870528452
459	3.865792065
460	3.864506682
461	3.861282772
462	3.855883532
463	3.854267849
464	3.852951458
465	3.851500421
466	3.850920129
467	3.849167943
468	3.846804
469	3.844871003
470	3.843476817
471	3.842476575
472	3.838576096
473	3.833486421
474	3.830624174
475	3.826808334
476	3.822476548
477	3.8193479
478	3.81720564
479	3.81528746
480	3.810948641
481	3.807691619
482	3.807170808
483	3.805561615
484	3.80297272
485	3.802346359
486	3.801767362
487	3.798059462
488	3.793974845
489	3.790531591
490	3.787426203
491	3.781628062
492	3.78121228
493	3.780064923
494	3.77786908
495	3.775344525
496	3.772959486
497	3.772314191
498	3.768023868
499	3.762414327
500	3.757359082
501	3.754996016
502	3.753806683
503	3.749062488
504	3.7480115
505	3.745418531
506	3.740863143
507	3.738598558
508	3.737028723
509	3.735344351
510	3.732378003
511	3.731883725
512	3.73140035
513	3.726823208
514	3.723598913
515	3.721457052
516	3.716801151
517	3.713378824
518	3.712608642
519	3.711942281
520	3.710145394
521	3.709019176
522	3.707263168
523	3.703848473
524	3.702383093
525	3.700260047
526	3.697648111
527	3.697230562
528	3.696886424
529	3.692644122
530	3.689668237
531	3.687721184
532	3.687289634
533	3.686809922
534	3.685669249
535	3.685448618
536	3.681923453
537	3.68140546
538	3.67945286
539	3.678218959
540	3.675856667
541	3.675287912
542	3.673135368
543	3.672529521
544	3.669897564
545	3.669338502
546	3.665988318
547	3.660676838
548	3.659666586
549	3.6562781
550	3.655101296
551	3.651624672
552	3.650784855
553	3.647905238
554	3.647231424
555	3.642732655
556	3.641466992
557	3.637797419
558	3.6373193
559	3.636888016
560	3.635519743
561	3.632950844
562	3.63252444
563	3.630543258
564	3.629917555
565	3.629392666
566	3.624478551
567	3.62213965
568	3.621668728
569	3.619826933
570	3.617509532
571	3.614578757
572	3.609997396
573	3.608807506
574	3.605045206
575	3.601436664
576	3.599194525
577	3.59611509
578	3.594856486
579	3.594456981
580	3.593536816
581	3.590992483
582	3.587217036
583	3.584674076
584	3.584504621
585	3.584152649
586	3.581841498
587	3.577346181
588	3.576207115
589	3.573825857
590	3.571769689
591	3.571753941
592	3.570533607
593	3.569899862
594	3.568621586
595	3.567367093
596	3.56413546
597	3.559912618
598	3.557623152
599	3.556701736
600	3.556132287
601	3.555645992
602	3.552268228
603	3.549024
604	3.547939551
605	3.545638786
606	3.543037313
607	3.539980529
608	3.536676323
609	3.532866454
610	3.531329504
611	3.528159321
612	3.527359842
613	3.526990322
614	3.523182356
615	3.521413452
616	3.518131539
617	3.517734709
618	3.514592897
619	3.511656876
620	3.510598095
621	3.509373488
622	3.509151266
623	3.505373217
624	3.505105389
625	3.502391113
626	3.501157783
627	3.500759041
628	3.498696332
629	3.498031082
630	3.495427808
631	3.493975606
632	3.491213549
633	3.490959969
634	3.489709886
635	3.487335083
636	3.482792132
637	3.482125654
638	3.480529154
639	3.476668965
640	3.472986861
641	3.470544332
642	3.469536701
643	3.468477299
644	3.466980521
645	3.46504249
646	3.459740578
647	3.456342424
648	3.454492476
649	3.453768272
650	3.450707195
651	3.447241551
652	3.447160502
653	3.446873449
654	3.443922737
655	3.442369699
656	3.439879139
657	3.435709111
658	3.433994243
659	3.431268373
660	3.427884971
661	3.424676329
662	3.421677598
663	3.417414641
664	3.415480459
665	3.41453795
666	3.412410928
667	3.409572785
668	3.409326806
669	3.405283981
670	3.402989288
671	3.402409603
672	3.399614961
673	3.396755444
674	3.39449903
675	3.393075853
676	3.391359191
677	3.387497413
678	3.383841688
679	3.383327793
680	3.382270606
681	3.381536381
682	3.379079518
683	3.3772992
684	3.373275836
685	3.369525052
686	3.368182517
687	3.365639543
688	3.36456749
689	3.361394383
690	3.361083008
691	3.357651187
692	3.356259265
693	3.352063014
694	3.349776226
695	3.346374779
696	3.344786267
697	3.341431201
698	3.338405798
699	3.337949914
700	3.337196382
701	3.334732257
702	3.334402121
703	3.332811372
704	3.330701149
705	3.327599682
706	3.326117645
707	3.324498584
708	3.323776018
709	3.319883872
710	3.31632292
711	3.314075582
712	3.313231696
713	3.310887483
714	3.310488422
715	3.309288467
716	3.306413989
717	3.303425148
718	3.302790346
719	3.302430476
720	3.300204194
721	3.29577784
722	3.292703859
723	3.290468841
724	3.289077133
725	3.288754512
726	3.286997309
727	3.284410347
728	3.281093269
729	3.279603763
730	3.275829964
731	3.274616883
732	3.272961466
733	3.270835566
734	3.270475211
735	3.269308432
736	3.267324156
737	3.264499377
738	3.263095918
739	3.262668416
740	3.25938817
741	3.255324097
742	3.25217206
743	3.251120382
744	3.250675596
745	3.248167482
746	3.24787101
747	3.246587288
748	3.245879891
749	3.243641611
750	3.243375367
751	3.241922106
752	3.238527569
753	3.237390586
754	3.237059528
755	3.236330441
756	3.23577719
757	3.235510912
758	3.235127551
759	3.234358517
760	3.23241746
761	3.231413103
762	3.229586062
763	3.227889386
764	3.227569009
765	3.226992126
766	3.226189795
767	3.224742333
768	3.223057597
769	3.221892659
770	3.219167378
771	3.216922918
772	3.213635031
773	3.212103521
774	3.211260081
775	3.209873094
776	3.209060658
777	3.20889194
778	3.208107674
779	3.207689027
780	3.203927097
781	3.202434535
782	3.200799492
783	3.197240921
784	3.195965511
785	3.194023466
786	3.192336044
787	3.191552904
788	3.190096371
789	3.185973896
790	3.185245511
791	3.184064223
792	3.18375511
793	3.180832806
794	3.17990691
795	3.177006332
796	3.174759543
797	3.173548043
798	3.172473072
799	3.172060324
800	3.17144135
801	3.171096725
802	3.170083764
803	3.16763199
804	3.166151863
805	3.165359979
806	3.164797653
807	3.164326223
808	3.162307984
809	3.162216151
810	3.159995886
811	3.158972221
812	3.157748496
813	3.156497759
814	3.155651661
815	3.153312852
816	3.151069161
817	3.148419875
818	3.14805609
819	3.145122572
820	3.144236457
821	3.143024347
822	3.14189769
823	3.14103722
824	3.139882735
825	3.136728366
826	3.134171485
827	3.131087929
828	3.128862131
829	3.1259823
830	3.124991654
831	3.124696008
832	3.124327525
833	3.123389686
834	3.121083671
835	3.119346057
836	3.118803879
837	3.116278427
838	3.116093264
839	3.114934202
840	3.113692665
841	3.112782498
842	3.11043878
843	3.110291131
844	3.10931681
845	3.108360781
846	3.107163995
847	3.105676727
848	3.104763812
849	3.101903422
850	3.099339314
851	3.097009398
852	3.093558609
853	3.093346858
854	3.090041035
855	3.086575184
856	3.083588528
857	3.08037598
858	3.078249129
859	3.077608172
860	3.07634396
861	3.074239843
862	3.07316434
863	3.072060248
864	3.069710342
865	3.068442828
866	3.066363909
867	3.065905551
868	3.063909934
869	3.061371368
870	3.061190411
871	3.059231172
872	3.057909776
873	3.056605263
874	3.055688201
875	3.052668174
876	3.05147264
877	3.050900358
878	3.049155135
879	3.048319339
880	3.047141556
881	3.044685934
882	3.041841995
883	3.04123218
884	3.040406708
885	3.037280092
886	3.036300562
887	3.033421399
888	3.031629837
889	3.029321745
890	3.028369327
891	3.026800608
892	3.024815948
893	3.022561115
894	3.019878058
895	3.018714983
896	3.017728382
897	3.017194963
898	3.016905224
899	3.016512595
900	3.015820746
901	3.01443546
902	3.013219548
903	3.012909938
904	3.011691803
905	3.008713707
906	3.006105058
907	3.005243355
908	3.003488297
909	3.001800224
910	3.000657062
911	2.998247794
912	2.996329582
913	2.994168919
914	2.993212636
915	2.989570477
916	2.989461218
917	2.986449293
918	2.983048327
919	2.983040677
920	2.981999658
921	2.981390783
922	2.97951319
923	2.977444505
924	2.97450114
925	2.973125518
926	2.97307447
927	2.972150214
928	2.971417131
929	2.970579715
930	2.97006133
931	2.968712679
932	2.966731713
933	2.96396037
934	2.961276651
935	2.959805468
936	2.957652504
937	2.956443896
938	2.955715306
939	2.953878261
940	2.952490412
941	2.950438764
942	2.947076969
943	2.943713892
944	2.942876346
945	2.942778267
946	2.942312341
947	2.941955159
948	2.941560448
949	2.940274386
950	2.939141821
951	2.939114527
952	2.936894097
953	2.935627931
954	2.934493284
955	2.932744
956	2.931773911
957	2.930361202
958	2.927990765
959	2.925638345
960	2.924687517
961	2.924058458
962	2.923478257
963	2.922716197
964	2.920747006
965	2.920416936
966	2.919605305
967	2.918401182
968	2.915075236
969	2.91168546
970	2.911399808
971	2.909445661
972	2.908097866
973	2.905894283
974	2.905646179
975	2.904695901
976	2.902935601
977	2.902340789
978	2.899627938
979	2.899031931
980	2.898305744
981	2.895468181
982	2.893162822
983	2.89291496
984	2.892443862
985	2.891467377
986	2.890425642
987	2.890046633
988	2.888933097
989	2.886562026
990	2.884914798
991	2.884062301
992	2.883462163
993	2.883159127
994	2.882595734
995	2.879656586
996	2.877107604
997	2.875663508
998	2.873013387
999	2.872869885
